127.0.0.1, 2018-07-03 11:27:18, GET, /, HTTP/1.1, 303, 0.005000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.650000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:27:19, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:27:20, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:27:20, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:27:20, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:27:20, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/default/index, HTTP/1.1, 200, 0.213000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:28:12, GET, /admin/static/_2.16.1/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:28:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-03 11:28:18, POST, /admin/default/index, HTTP/1.1, 303, 0.034000
127.0.0.1, 2018-07-03 11:28:18, GET, /admin/default/site, HTTP/1.1, 200, 0.058000
127.0.0.1, 2018-07-03 11:28:18, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:28:18, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-03 11:28:18, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:28:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-03 11:28:19, POST, /admin/default/check_version, HTTP/1.1, 200, 0.443000
127.0.0.1, 2018-07-03 11:28:37, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-07-03 11:29:07, POST, /admin/default/site, HTTP/1.1, 303, 1.022000
127.0.0.1, 2018-07-03 11:29:07, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.301000
127.0.0.1, 2018-07-03 11:29:07, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:29:07, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:29:07, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:29:07, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:29:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-03 11:36:47, GET, /admin/default/index, HTTP/1.1, 303, 0.013000
127.0.0.1, 2018-07-03 11:36:47, GET, /admin/default/site, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-07-03 11:36:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-07-03 11:36:56, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.113000
127.0.0.1, 2018-07-03 11:36:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-03 11:37:23, POST, /admin/default/create_file, HTTP/1.1, 303, 0.063000
127.0.0.1, 2018-07-03 11:37:23, GET, /admin/default/design/pluralsight, HTTP/1.1, 200, 0.113000
127.0.0.1, 2018-07-03 11:37:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.067000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003000
2000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.005000
00
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.005000

127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.004000
0
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:37:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/default/edit/pluralsight/controllers/basics.py, HTTP/1.1, 200, 0.041000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.079000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-07-03 11:37:30, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.256000
127.0.0.1, 2018-07-03 11:37:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.318000
127.0.0.1, 2018-07-03 11:37:31, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.280000
127.0.0.1, 2018-07-03 11:37:31, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.642000
127.0.0.1, 2018-07-03 11:38:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.026000
127.0.0.1, 2018-07-03 11:38:32, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.336000
127.0.0.1, 2018-07-03 11:39:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-07-03 11:39:33, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 2.014000
127.0.0.1, 2018-07-03 11:40:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-07-03 11:40:33, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.856000
127.0.0.1, 2018-07-03 11:41:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031000
127.0.0.1, 2018-07-03 11:41:32, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.469000
127.0.0.1, 2018-07-03 11:42:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-07-03 11:42:33, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.853000
127.0.0.1, 2018-07-03 11:43:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.027000
127.0.0.1, 2018-07-03 11:43:32, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.358000
127.0.0.1, 2018-07-03 11:44:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-07-03 11:44:30, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.256000
127.0.0.1, 2018-07-03 11:45:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039000
127.0.0.1, 2018-07-03 11:45:30, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 0.229000
127.0.0.1, 2018-07-03 11:46:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083000
127.0.0.1, 2018-07-03 11:46:32, GET, /pluralsight/appadmin/hooks, HTTP/1.1, 200, 1.425000
